league,season,team,player,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ENG-Premier League,2526,Nottingham Forest,Morato,BRA,DF,24-290,2001,15,10,941,10.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Nottingham Forest,Morgan Gibbs-White,ENG,MF,26-079,2000,32,31,2720,30.2,9,2,11,8,1,1,1,0,0.3,0.07,0.36,0.26,0.33
ENG-Premier League,2526,Nottingham Forest,Murillo,BRA,DF,23-286,2002,24,24,2089,23.2,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04
ENG-Premier League,2526,Nottingham Forest,Neco Williams,WAL,DF,25-003,2001,31,31,2708,30.1,2,3,5,2,0,0,5,1,0.07,0.1,0.17,0.07,0.17
ENG-Premier League,2526,Nottingham Forest,Nicolás Domínguez,ARG,MF,27-292,1998,21,14,942,10.5,1,0,1,1,0,0,2,0,0.1,0.0,0.1,0.1,0.1
ENG-Premier League,2526,Nottingham Forest,Nicolò Savona,ITA,DF,23-028,2003,14,11,1028,11.4,2,0,2,2,0,0,2,0,0.18,0.0,0.18,0.18,0.18
ENG-Premier League,2526,Nottingham Forest,Nikola Milenković,SRB,DF,28-186,1997,32,32,2880,32.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Nottingham Forest,Ola Aina,NGA,DF,29-190,1996,16,16,1408,15.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Nottingham Forest,Oleksandr Zinchenko,UKR,DF,29-122,1996,5,4,353,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Nottingham Forest,Omari Hutchinson,ENG,MF,22-168,2003,25,13,1351,15.0,1,3,4,1,0,0,1,0,0.07,0.2,0.27,0.07,0.27
ENG-Premier League,2526,Nottingham Forest,Ryan Yates,ENG,MF,28-146,1997,17,1,417,4.6,0,1,1,0,0,0,1,0,0.0,0.22,0.22,0.0,0.22
ENG-Premier League,2526,Nottingham Forest,Stefan Ortega,GER,GK,33-161,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Nottingham Forest,Taiwo Awoniyi,NGA,FW,28-247,1997,12,1,279,3.1,2,0,2,2,0,0,1,0,0.65,0.0,0.65,0.65,0.65
ENG-Premier League,2526,Nottingham Forest,Zach Abbott,ENG,DF,19-338,2006,2,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Arthur Masuaku,COD,DF,32-160,1993,3,2,126,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Bertrand Traoré,BFA,"MF,FW",30-222,1995,12,9,632,7.0,1,0,1,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14
ENG-Premier League,2526,Sunderland,Brian Brobbey,NED,FW,24-074,2002,25,16,1457,16.2,6,1,7,6,0,0,5,0,0.37,0.06,0.43,0.37,0.43
ENG-Premier League,2526,Sunderland,Chemsdine Talbi,MAR,"MF,FW",20-342,2005,24,14,1334,14.8,4,1,5,4,0,0,0,0,0.27,0.07,0.34,0.27,0.34
ENG-Premier League,2526,Sunderland,Chris Rigg,ENG,MF,18-302,2007,14,9,639,7.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Dan Neil,ENG,MF,24-124,2001,3,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Daniel Ballard,NIR,DF,26-206,1999,26,22,2008,22.3,2,0,2,2,0,0,3,0,0.09,0.0,0.09,0.09,0.09
ENG-Premier League,2526,Sunderland,Dennis Cirkin,LVA,DF,24-010,2002,7,3,304,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Eliezer Mayenda,ESP,"FW,MF",20-343,2005,19,8,758,8.4,2,0,2,2,0,0,0,0,0.24,0.0,0.24,0.24,0.24
ENG-Premier League,2526,Sunderland,Enzo Le Fée,FRA,"MF,FW",26-072,2000,30,27,2391,26.6,4,4,8,1,3,4,5,0,0.15,0.15,0.3,0.04,0.19
ENG-Premier League,2526,Sunderland,Granit Xhaka,SUI,MF,33-201,1992,28,26,2364,26.3,1,5,6,1,0,0,5,0,0.04,0.19,0.23,0.04,0.23
ENG-Premier League,2526,Sunderland,Habib Diarra,SEN,MF,22-103,2004,15,13,1188,13.2,2,1,3,1,1,1,4,0,0.15,0.08,0.23,0.08,0.15
ENG-Premier League,2526,Sunderland,Jenson Seelt,NED,DF,22-328,2003,2,1,134,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Jocelin Ta Bi,CIV,MF,21-066,2005,1,1,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Luke O'Nien,ENG,DF,31-146,1994,9,3,321,3.6,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Lutsharel Geertruida,NED,"DF,MF",25-272,2000,25,14,1423,15.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Marc Guiu,ESP,FW,20-102,2006,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Melker Ellborg,SWE,GK,22-329,2003,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Nilson Angulo,ECU,MF,22-301,2003,5,3,256,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Noah Sadiki,COD,MF,21-120,2004,27,27,2382,26.5,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Nordi Mukiele,FRA,DF,28-166,1997,26,26,2244,24.9,2,3,5,2,0,0,4,0,0.08,0.12,0.2,0.08,0.2
ENG-Premier League,2526,Sunderland,Omar Alderete,PAR,DF,29-111,1996,28,27,2444,27.2,1,1,2,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07
ENG-Premier League,2526,Sunderland,Patrick Roberts,ENG,"FW,MF",29-070,1997,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Reinildo Mandava,MOZ,DF,32-085,1994,19,18,1518,16.9,0,1,1,0,0,0,7,1,0.0,0.06,0.06,0.0,0.06
ENG-Premier League,2526,Sunderland,Robin Roefs,NED,GK,23-089,2003,29,29,2610,29.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Romaine Mundle,ENG,MF,22-357,2003,14,2,411,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Simon Adingra,CIV,"MF,FW",24-105,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,0.14,0.0,0.14,0.14,0.14
ENG-Premier League,2526,Sunderland,Trai Hume,NIR,"DF,MF",24-029,2002,32,29,2590,28.8,0,1,1,0,0,0,9,0,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2526,Sunderland,Wilson Isidor,HAI,FW,25-232,2000,27,11,1069,11.9,4,0,4,4,0,0,1,0,0.34,0.0,0.34,0.34,0.34
ENG-Premier League,2526,Tottenham Hotspur,Antonín Kinský,CZE,GK,23-034,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Archie Gray,ENG,"MF,DF",20-035,2006,22,18,1435,15.9,2,2,4,2,0,0,5,0,0.13,0.13,0.25,0.13,0.25
ENG-Premier League,2526,Tottenham Hotspur,Ben Davies,WAL,DF,32-357,1993,3,2,137,1.5,1,0,1,1,0,0,1,0,0.66,0.0,0.66,0.66,0.66
ENG-Premier League,2526,Tottenham Hotspur,Brennan Johnson,WAL,"MF,FW",24-328,2001,16,6,610,6.8,2,0,2,2,0,0,2,0,0.3,0.0,0.3,0.3,0.3
ENG-Premier League,2526,Tottenham Hotspur,Callum Olusesi,ENG,MF,19-089,2007,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Conor Gallagher,ENG,MF,26-069,2000,10,8,669,7.4,0,1,1,0,0,0,0,0,0.0,0.13,0.13,0.0,0.13
ENG-Premier League,2526,Tottenham Hotspur,Cristian Romero,ARG,DF,27-354,1998,23,22,1868,20.8,4,1,5,4,0,0,11,2,0.19,0.05,0.24,0.19,0.24
ENG-Premier League,2526,Tottenham Hotspur,Dane Scarlett,ENG,FW,22-023,2004,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Destiny Udogie,ITA,"DF,MF",23-139,2002,15,9,933,10.4,0,1,1,0,0,0,3,0,0.0,0.1,0.1,0.0,0.1
ENG-Premier League,2526,Tottenham Hotspur,Djed Spence,ENG,"DF,MF",25-250,2000,24,21,1808,20.1,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Dominic Solanke,ENG,FW,28-214,1997,13,9,872,9.7,3,0,3,3,0,0,1,0,0.31,0.0,0.31,0.31,0.31
ENG-Premier League,2526,Tottenham Hotspur,Guglielmo Vicario,ITA,GK,29-191,1996,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,James Rowswell,ENG,DF,19-277,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,João Palhinha,POR,"MF,DF",30-281,1995,27,19,1808,20.1,3,2,5,3,0,0,6,0,0.15,0.1,0.25,0.15,0.25
ENG-Premier League,2526,Tottenham Hotspur,Jun'ai Byfield,ENG,DF,17-131,2008,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Kevin Danso,AUT,DF,27-209,1998,18,11,954,10.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Lucas Bergvall,SWE,MF,20-073,2006,19,11,911,10.1,1,2,3,1,0,0,2,0,0.1,0.2,0.3,0.1,0.3
ENG-Premier League,2526,Tottenham Hotspur,Mathys Tel,FRA,"MF,FW",20-354,2005,25,9,935,10.4,3,0,3,3,0,0,0,0,0.29,0.0,0.29,0.29,0.29
ENG-Premier League,2526,Tottenham Hotspur,Micky van de Ven,NED,DF,24-362,2001,29,29,2501,27.8,4,1,5,4,0,0,8,1,0.14,0.04,0.18,0.14,0.18
ENG-Premier League,2526,Tottenham Hotspur,Mohammed Kudus,GHA,"MF,FW",25-257,2000,19,19,1535,17.1,2,5,7,2,0,0,3,0,0.12,0.29,0.41,0.12,0.41
ENG-Premier League,2526,Tottenham Hotspur,Pape Matar Sarr,SEN,MF,23-214,2002,23,13,1356,15.1,2,3,5,2,0,0,2,0,0.13,0.2,0.33,0.13,0.33
ENG-Premier League,2526,Tottenham Hotspur,Pedro Porro,ESP,DF,26-215,1999,28,26,2256,25.1,0,2,2,0,0,0,7,0,0.0,0.08,0.08,0.0,0.08
ENG-Premier League,2526,Tottenham Hotspur,Radu Drăgușin,ROU,DF,24-072,2002,8,5,515,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Randal Kolo Muani,FRA,"FW,MF",27-132,1998,24,16,1321,14.7,1,1,2,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14
ENG-Premier League,2526,Tottenham Hotspur,Richarlison,BRA,"FW,MF",28-341,1997,27,16,1572,17.5,9,3,12,9,0,0,5,0,0.52,0.17,0.69,0.52,0.69
ENG-Premier League,2526,Tottenham Hotspur,Rodrigo Bentancur,URU,MF,28-295,1997,20,17,1410,15.7,1,1,2,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13
ENG-Premier League,2526,Tottenham Hotspur,Souza,BRA,MF,19-304,2006,4,2,144,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Wilson Odobert,FRA,"MF,FW",21-139,2004,24,10,985,10.9,0,2,2,0,0,0,0,0,0.0,0.18,0.18,0.0,0.18
ENG-Premier League,2526,Tottenham Hotspur,Xavi Simons,NED,"MF,FW",22-360,2003,26,17,1603,17.8,1,4,5,1,0,0,4,1,0.06,0.22,0.28,0.06,0.28
ENG-Premier League,2526,Tottenham Hotspur,Yves Bissouma,MLI,MF,29-229,1996,8,5,462,5.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Aaron Wan-Bissaka,COD,"DF,MF",28-141,1997,22,21,1903,21.1,0,2,2,0,0,0,4,0,0.0,0.09,0.09,0.0,0.09
ENG-Premier League,2526,West Ham United,Adama Traoré,ESP,"FW,MF",30-081,1996,8,0,104,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Alphonse Areola,FRA,GK,33-048,1993,20,20,1800,20.0,0,1,1,0,0,0,0,0,0.0,0.05,0.05,0.0,0.05
ENG-Premier League,2526,West Ham United,Andy Irving,SCO,MF,25-338,2000,7,2,158,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Axel Disasi,FRA,DF,28-036,1998,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Callum Marshall,NIR,FW,21-139,2004,2,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Callum Wilson,ENG,"FW,MF",34-048,1992,26,10,1058,11.8,5,1,6,5,0,0,0,0,0.43,0.09,0.51,0.43,0.51
ENG-Premier League,2526,West Ham United,Crysencio Summerville,NED,"MF,FW",24-168,2001,25,23,1933,21.5,5,1,6,5,0,0,4,0,0.23,0.05,0.28,0.23,0.28
ENG-Premier League,2526,West Ham United,El Hadji Malick Diouf,SEN,"DF,MF",21-109,2004,26,24,2184,24.3,0,5,5,0,0,0,4,0,0.0,0.21,0.21,0.0,0.21
ENG-Premier League,2526,West Ham United,Ezra Mayers,BRB,DF,19-090,2007,6,0,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Freddie Potts,ENG,MF,22-216,2003,21,12,1159,12.9,0,1,1,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08
ENG-Premier League,2526,West Ham United,George Earthy,ENG,MF,21-223,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Guido Rodríguez,ARG,MF,32-004,1994,6,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Igor,BRA,DF,28-068,1998,4,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,James Ward-Prowse,ENG,MF,31-166,1994,5,5,413,4.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Jarrod Bowen,ENG,"MF,FW",29-117,1996,32,32,2867,31.9,8,8,16,7,1,1,4,0,0.25,0.25,0.5,0.22,0.47
ENG-Premier League,2526,West Ham United,Jean-Clair Todibo,FRA,DF,26-107,1999,20,20,1698,18.9,0,1,1,0,0,0,4,1,0.0,0.05,0.05,0.0,0.05
ENG-Premier League,2526,West Ham United,Konstantinos Mavropanos,GRE,DF,28-126,1997,25,21,1994,22.2,3,0,3,3,0,0,2,0,0.14,0.0,0.14,0.14,0.14
ENG-Premier League,2526,West Ham United,Kyle Walker-Peters,ENG,DF,29-003,1997,19,11,1049,11.7,1,0,1,1,0,0,2,0,0.09,0.0,0.09,0.09,0.09
ENG-Premier League,2526,West Ham United,Lucas Paquetá,BRA,"MF,FW",28-232,1997,18,18,1511,16.8,4,1,5,2,2,2,7,1,0.24,0.06,0.3,0.12,0.18
ENG-Premier League,2526,West Ham United,Luis Guilherme,BRA,FW,20-066,2006,5,1,125,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Mads Hermansen,DEN,GK,25-279,2000,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Mateus Fernandes,POR,MF,21-280,2004,30,29,2476,27.5,3,3,6,3,0,0,7,0,0.11,0.11,0.22,0.11,0.22
ENG-Premier League,2526,West Ham United,Max Kilman,ENG,DF,28-328,1997,21,17,1561,17.3,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Mohamadou Kanté,FRA,MF,20-208,2005,8,0,37,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Nayef Aguerd,MAR,DF,30-017,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Niclas Füllkrug,GER,FW,33-066,1993,8,5,409,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Oliver Scarles,ENG,"DF,MF",20-125,2005,12,9,656,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Pablo,BRA,"MF,FW",22-104,2004,8,6,482,5.4,0,1,1,0,0,0,0,0,0.0,0.19,0.19,0.0,0.19
ENG-Premier League,2526,West Ham United,Soungoutou Magassa,FRA,MF,22-190,2003,21,11,978,10.9,1,0,1,1,0,0,4,0,0.09,0.0,0.09,0.09,0.09
ENG-Premier League,2526,West Ham United,Tomáš Souček,CZE,MF,31-048,1995,29,18,1688,18.8,4,0,4,4,0,0,2,1,0.21,0.0,0.21,0.21,0.21
ENG-Premier League,2526,West Ham United,Valentín Castellanos,ARG,FW,27-195,1998,12,12,941,10.5,4,0,4,4,0,0,3,0,0.38,0.0,0.38,0.38,0.38
ENG-Premier League,2526,Wolves,Adam Armstrong,ENG,"FW,MF",29-065,1997,8,8,636,7.1,1,2,3,1,0,0,3,0,0.14,0.28,0.42,0.14,0.42
ENG-Premier League,2526,Wolves,André,BRA,MF,24-274,2001,29,24,2222,24.7,1,0,1,1,0,0,9,0,0.04,0.0,0.04,0.04,0.04
ENG-Premier League,2526,Wolves,Angel Gomes,ENG,"MF,FW",25-228,2000,8,5,344,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,David Møller Wolfe,NOR,"MF,DF",23-358,2002,18,9,846,9.4,0,2,2,0,0,0,1,0,0.0,0.21,0.21,0.0,0.21
ENG-Premier League,2526,Wolves,Emmanuel Agbadou,CIV,DF,28-303,1997,14,12,1101,12.2,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Fer López,ESP,MF,21-327,2004,9,2,235,2.6,0,1,1,0,0,0,1,0,0.0,0.38,0.38,0.0,0.38
ENG-Premier League,2526,Wolves,Hugo Bueno,ESP,"MF,DF",23-210,2002,29,22,2042,22.7,1,1,2,1,0,0,1,0,0.04,0.04,0.09,0.04,0.09
ENG-Premier League,2526,Wolves,Hwang Hee-chan,KOR,"FW,MF",30-080,1996,21,15,1169,13.0,2,1,3,1,1,1,3,0,0.15,0.08,0.23,0.08,0.15
ENG-Premier League,2526,Wolves,Jackson Tchatchoua,CMR,"MF,DF",24-214,2001,29,18,1795,19.9,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05
ENG-Premier League,2526,Wolves,Jean-Ricner Bellegarde,HAI,"MF,FW",27-293,1998,23,14,1146,12.7,1,1,2,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16
ENG-Premier League,2526,Wolves,Jhon Arias,COL,"FW,MF",28-207,1997,23,14,1124,12.5,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08
ENG-Premier League,2526,Wolves,José Sá,POR,GK,33-089,1993,20,20,1800,20.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,João Gomes,BRA,MF,25-063,2001,30,27,2381,26.5,1,1,2,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08
ENG-Premier League,2526,Wolves,Jørgen Strand Larsen,NOR,FW,26-069,2000,22,14,1404,15.6,1,1,2,0,1,2,2,0,0.06,0.06,0.13,0.0,0.06
ENG-Premier League,2526,Wolves,Ki-Jana Hoever,NED,"MF,DF",24-088,2002,8,6,425,4.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Ladislav Krejčí,CZE,"DF,MF",26-361,1999,25,24,2127,23.6,2,1,3,2,0,0,5,1,0.08,0.04,0.13,0.08,0.13
ENG-Premier League,2526,Wolves,Marshall Munetsi,ZIM,"MF,FW",29-298,1996,13,9,875,9.7,1,1,2,1,0,0,2,0,0.1,0.1,0.21,0.1,0.21
ENG-Premier League,2526,Wolves,Mateus Mane,POR,MF,18-212,2007,21,14,1316,14.6,2,1,3,2,0,0,0,0,0.14,0.07,0.21,0.14,0.21
ENG-Premier League,2526,Wolves,Matt Doherty,IRL,"DF,MF",34-090,1992,10,10,702,7.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Pedro Lima,BRA,DF,19-289,2006,3,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Rodrigo Gomes,POR,"MF,FW",22-283,2003,16,6,632,7.0,3,0,3,3,0,0,0,0,0.43,0.0,0.43,0.43,0.43
ENG-Premier League,2526,Wolves,Sam Johnstone,ENG,GK,33-022,1993,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Santiago Bueno,URU,DF,27-158,1998,23,22,2013,22.4,2,1,3,2,0,0,4,0,0.09,0.04,0.13,0.09,0.13
ENG-Premier League,2526,Wolves,Sasa Kalajdzic,AUT,"FW,MF",28-283,1997,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Tawanda Chirewa,ZIM,MF,22-186,2003,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Tolu Arokodare,NGA,FW,25-144,2000,28,12,1264,14.0,3,1,4,3,0,1,1,0,0.21,0.07,0.28,0.21,0.28
ENG-Premier League,2526,Wolves,Tom Edozie,ENG,MF,19-333,2006,2,0,13,0.1,1,0,1,1,0,0,0,0,6.92,0.0,6.92,6.92,6.92
ENG-Premier League,2526,Wolves,Toti Gomes,POR,DF,27-090,1999,14,13,1039,11.5,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Yerson Mosquera,COL,DF,24-349,2001,23,20,1776,19.7,0,0,0,0,0,0,11,0,0.0,0.0,0.0,0.0,0.0
